Num_Acc;id_vehicule;num_veh;catv;obs;obsm;choc;manv;motor;id_usager;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;lat;long;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma;gravity;day_of_week
202300000047;155 680 476;A01;1;0;0;7;0;5;203 851 067;1;1;4;1;1978.0;5;2;6;-1;8;5;2023;07:45;2;34;34333;1;6;1;3;43.500985;3.786504;3;1;1;0;1;3;3,5;1;0;1;80;Blessé léger;0
202300000047;155 680 477;B01;7;0;0;8;1;1;203 851 068;1;1;1;1;1988.0;1;1;-1;-1;8;5;2023;07:45;2;34;34333;1;6;1;3;43.500985;3.786504;3;1;1;0;1;3;3,5;1;0;1;80;Indemne;0
202300000049;155 680 471;C01;1;0;0;4;0;5;203 851 062;1;1;2;1;2004.0;5;0;-1;-1;8;5;2023;02:20;3;34;34172;1;1;1;4;43.601853;3.922441;1;3;3;0;1;1;13,5;1;0;1;90;Tué;0
202300000049;155 680 472;B01;1;0;0;6;0;5;203 851 063;1;1;3;1;2004.0;5;0;-1;-1;8;5;2023;02:20;3;34;34172;1;1;1;4;43.601853;3.922441;1;3;3;0;1;1;13,5;1;0;1;90;Blessé hospitalisé;0
202300000049;155 680 473;A01;7;0;9;1;1;1;203 851 064;1;1;1;2;1981.0;5;8;-1;-1;8;5;2023;02:20;3;34;34172;1;1;1;4;43.601853;3.922441;1;3;3;0;1;1;13,5;1;0;1;90;Indemne;0
202300000064;155 680 450;A01;1;0;2;1;1;5;203 851 036;1;1;4;1;1943.0;5;0;-1;-1;4;5;2023;15:50;1;33;33019;2;1;1;3;44.687508;-1.001371;3;-1;2;1;1;1; -1;1;0;5;30;Blessé léger;3
202300000064;155 680 451;B01;7;0;0;6;20;1;203 851 037;1;1;1;2;1993.0;5;1;-1;-1;4;5;2023;15:50;1;33;33019;2;1;1;3;44.687508;-1.001371;3;-1;2;1;1;1; -1;1;0;5;30;Indemne;3
202300000118;155 680 349;A01;10;0;2;2;1;1;203 850 905;2;2;1;1;1953.0;0;1;-1;-1;30;11;2023;14:50;1;61;61369;1;1;3;2;48.62203;-0.638515;3;2;2;0;1;1;7;2;0;1;90;Indemne;3
202300000118;155 680 349;A01;10;0;2;2;1;1;203 850 906;1;1;1;1;1951.0;0;1;-1;-1;30;11;2023;14:50;1;61;61369;1;1;3;2;48.62203;-0.638515;3;2;2;0;1;1;7;2;0;1;90;Indemne;3
202300000118;155 680 351;B01;1;0;2;4;2;5;203 850 910;1;1;3;1;1960.0;5;2;-1;-1;30;11;2023;14:50;1;61;61369;1;1;3;2;48.62203;-0.638515;3;2;2;0;1;1;7;2;0;1;90;Blessé hospitalisé;3
202300000137;155 680 310;A01;7;0;9;2;1;0;203 850 854;1;1;1;2;1937.0;0;1;-1;-1;30;11;2023;18:40;3;53;53084;1;1;8;2;47.847669;-0.978599;3;2;2;0;1;1;5;2;0;1;80;Indemne;3
202300000137;155 680 311;B01;80;0;2;4;1;3;203 850 855;1;1;3;1;1980.0;1;0;-1;-1;30;11;2023;18:40;3;53;53084;1;1;8;2;47.847669;-0.978599;3;2;2;0;1;1;5;2;0;1;80;Blessé hospitalisé;3
202300000140;155 680 307;B01;1;0;2;8;1;5;203 850 849;1;1;4;1;1978.0;0;2;8;-1;28;3;2023;08:07;1;57;57480;2;1;1;3;49.0937;6.16252;4;2;2;0;1;1; -1;1;0;1;30;Blessé léger;1
202300000142;155 680 301;B01;1;0;2;7;1;5;203 850 843;1;1;4;1;2010.0;2;2;8;-1;28;3;2023;07:48;2;56;56162;2;6;1;3;47.73655;-3.4325;3;2;2;0;1;2; -1;1;5;1;50;Blessé léger;1
202300000142;155 680 301;B01;1;0;2;7;1;5;203 850 843;1;1;4;1;2010.0;2;2;8;-1;28;3;2023;07:48;2;56;56162;2;6;1;3;47.73655;-3.4325;3;2;2;0;1;2; -1;1;5;1;50;Blessé léger;1
202300000142;155 680 304;A01;7;0;2;1;1;1;203 850 846;1;1;1;1;1960.0;0;1;8;-1;28;3;2023;07:48;2;56;56162;2;6;1;3;47.73655;-3.4325;3;2;2;0;1;2; -1;1;5;1;50;Indemne;1
202300000142;155 680 304;A01;7;0;2;1;1;1;203 850 846;1;1;1;1;1960.0;0;1;8;-1;28;3;2023;07:48;2;56;56162;2;6;1;3;47.73655;-3.4325;3;2;2;0;1;2; -1;1;5;1;50;Indemne;1
202300000146;155 680 294;B01;1;0;2;8;15;5;203 850 836;1;1;3;2;1999.0;0;2;-1;-1;28;3;2023;17:45;1;51;51108;2;3;1;3;48.94682;4.365;4;2;2;1;1;1; -1;1;0;1;50;Blessé hospitalisé;1
202300000146;155 680 294;B01;1;0;2;8;15;5;203 850 836;1;1;3;2;1999.0;0;2;-1;-1;28;3;2023;17:45;1;51;51108;2;3;1;3;48.94682;4.365;4;-1;2;0;1;1; -1;1;0;1;50;Blessé hospitalisé;1
202300000146;155 680 296;A01;7;0;2;2;1;1;203 850 838;1;1;1;1;1981.0;5;1;-1;-1;28;3;2023;17:45;1;51;51108;2;3;1;3;48.94682;4.365;4;2;2;1;1;1; -1;1;0;1;50;Indemne;1
202300000146;155 680 296;A01;7;0;2;2;1;1;203 850 838;1;1;1;1;1981.0;5;1;-1;-1;28;3;2023;17:45;1;51;51108;2;3;1;3;48.94682;4.365;4;-1;2;0;1;1; -1;1;0;1;50;Indemne;1
202300000172;155 680 250;A01;30;0;2;1;1;1;203 850 778;1;1;1;1;2006.0;0;2;8;-1;28;3;2023;18:22;1;13;13201;2;1;1;1;43.295;5.3774;4;-1;1;3;1;1; -1;1;6;1;30;Indemne;1
202300000172;155 680 251;B01;1;0;0;0;0;5;203 850 780;1;1;3;1;1988.0;0;2;0;-1;28;3;2023;18:22;1;13;13201;2;1;1;1;43.295;5.3774;4;-1;1;3;1;1; -1;1;6;1;30;Blessé hospitalisé;1
202300000187;155 680 227;A01;80;0;2;1;2;3;203 850 747;1;1;4;1;1944.0;0;2;0;-1;27;3;2023;09:15;1;974;97411;1;1;1;2;-20.88864;55.4369;3;2;2;0;2;4; -1;1;0;1;50;Blessé léger;0
202300000187;155 680 228;B01;7;0;2;4;2;1;203 850 748;1;1;1;1;1992.0;1;1;0;-1;27;3;2023;09:15;1;974;97411;1;1;1;2;-20.88864;55.4369;3;2;2;0;2;4; -1;1;0;1;50;Indemne;0
202300000203;155 680 200;A01;99;0;9;3;1;1;203 850 714;1;1;1;2;1994.0;0;1;0;-1;8;8;2023;13:00;1;93;93048;2;3;1;3;48.85742;2.44007;4;-1;1;0;1;1; -1;1;0;1;50;Indemne;1
202300000203;155 680 200;A01;99;0;9;3;1;1;203 850 714;1;1;1;2;1994.0;0;1;0;-1;8;8;2023;13:00;1;93;93048;2;3;1;3;48.85742;2.44007;4;1;1;2;1;1; -1;1;0;5;30;Indemne;1
202300000203;155 680 202;B01;1;0;2;2;1;0;203 850 716;1;1;3;2;1954.0;0;2;-1;-1;8;8;2023;13:00;1;93;93048;2;3;1;3;48.85742;2.44007;4;-1;1;0;1;1; -1;1;0;1;50;Blessé hospitalisé;1
202300000203;155 680 202;B01;1;0;2;2;1;0;203 850 716;1;1;3;2;1954.0;0;2;-1;-1;8;8;2023;13:00;1;93;93048;2;3;1;3;48.85742;2.44007;4;1;1;2;1;1; -1;1;0;5;30;Blessé hospitalisé;1
202300000217;155 680 172;B01;7;0;2;0;1;1;203 850 679;1;1;1;1;1992.0;0;1;8;-1;27;3;2023;03:00;5;67;67482;2;3;1;3;48.5716;7.77026;4;1;4;1;1;1; -1;1;0;1;30;Indemne;0
202300000217;155 680 172;B01;7;0;2;0;1;1;203 850 679;1;1;1;1;1992.0;0;1;8;-1;27;3;2023;03:00;5;67;67482;2;3;1;3;48.5716;7.77026;4;3;6;0;1;1; -1;1;0;1;50;Indemne;0
202300000217;155 680 175;A01;80;0;2;0;1;3;203 850 683;1;1;4;1;1993.0;0;8;8;-1;27;3;2023;03:00;5;67;67482;2;3;1;3;48.5716;7.77026;4;1;4;1;1;1; -1;1;0;1;30;Blessé léger;0
202300000217;155 680 175;A01;80;0;2;0;1;3;203 850 683;1;1;4;1;1993.0;0;8;8;-1;27;3;2023;03:00;5;67;67482;2;3;1;3;48.5716;7.77026;4;3;6;0;1;1; -1;1;0;1;50;Blessé léger;0
202300000221;155 680 164;A01;7;0;2;2;2;1;203 850 670;1;1;1;1;1977.0;5;1;-1;-1;31;8;2023;12:45;1;14;14724;1;1;1;2;49.268801;-0.157992;3;2;2;0;1;3;7;2;0;1;80;Indemne;3
202300000221;155 680 165;B01;1;0;0;6;2;5;203 850 671;1;1;4;1;1961.0;5;2;-1;-1;31;8;2023;12:45;1;14;14724;1;1;1;2;49.268801;-0.157992;3;2;2;0;1;3;7;2;0;1;80;Blessé léger;3
202300000261;155 680 094;B01;1;0;2;4;1;5;203 850 575;1;1;3;1;1999.0;0;8;0;-1;26;3;2023;03:30;3;49;49007;2;1;2;2;47.463;-0.54774;4;2;2;0;1;1; -1;2;0;1;50;Blessé hospitalisé;6
202300000261;155 680 097;A01;7;0;2;1;1;1;203 850 578;2;2;1;1;1989.0;0;1;0;-1;26;3;2023;03:30;3;49;49007;2;1;2;2;47.463;-0.54774;4;2;2;0;1;1; -1;2;0;1;50;Indemne;6
202300000261;155 680 097;A01;7;0;2;1;1;1;203 850 580;1;1;1;1;1990.0;5;1;0;-1;26;3;2023;03:30;3;49;49007;2;1;2;2;47.463;-0.54774;4;2;2;0;1;1; -1;2;0;1;50;Indemne;6
202300000264;155 680 088;A01;80;0;1;3;1;3;203 850 566;1;1;1;1;1983.0;0;2;0;-1;21;3;2023;17:30;1;42;42218;2;1;1;6;45.44269;4.386167;4;1;1;3;1;1; -1;1;6;4;50;Indemne;1
202300000264;155 680 088;A01;80;0;1;3;1;3;203 850 567;10;3;4;1;1957.0;0;0;-1;-1;21;3;2023;17:30;1;42;42218;2;1;1;6;45.44269;4.386167;4;1;1;3;1;1; -1;1;6;4;50;Blessé léger;1
202300000279;155 680 061;B01;1;0;2;4;19;5;203 850 523;1;1;4;1;2002.0;1;8;0;-1;21;12;2023;19:20;4;67;67482;2;3;2;3;48.59879;7.75289;4;2;2;1;1;1; -1;2;0;5;20;Blessé léger;3
202300000279;155 680 061;B01;1;0;2;4;19;5;203 850 523;1;1;4;1;2002.0;1;8;0;-1;21;12;2023;19:20;4;67;67482;2;3;2;3;48.59879;7.75289;4;2;8;1;1;1; -1;2;0;1;50;Blessé léger;3
202300000279;155 680 062;A01;7;0;2;3;16;1;203 850 524;1;1;1;2;1962.0;3;1;8;-1;21;12;2023;19:20;4;67;67482;2;3;2;3;48.59879;7.75289;4;2;2;1;1;1; -1;2;0;5;20;Indemne;3
202300000279;155 680 062;A01;7;0;2;3;16;1;203 850 524;1;1;1;2;1962.0;3;1;8;-1;21;12;2023;19:20;4;67;67482;2;3;2;3;48.59879;7.75289;4;2;8;1;1;1; -1;2;0;1;50;Indemne;3
202300000284;155 680 050;A01;7;0;1;2;26;1;203 850 507;10;3;4;2;1950.0;0;0;-1;-1;27;3;2023;13:35;1;09;09225;2;9;2;6;43.10779;1.61857;4;-1;1;1;1;1; -1;2;9;8;30;Blessé léger;0
202300000284;155 680 050;A01;7;0;1;2;26;1;203 850 508;1;1;1;1;1976.0;2;1;-1;-1;27;3;2023;13:35;1;09;09225;2;9;2;6;43.10779;1.61857;4;-1;1;1;1;1; -1;2;9;8;30;Indemne;0
202300000284;155 680 052;B01;1;0;2;0;26;5;203 850 510;1;1;1;1;1968.0;5;2;4;-1;27;3;2023;13:35;1;09;09225;2;9;2;6;43.10779;1.61857;4;-1;1;1;1;1; -1;2;9;8;30;Indemne;0
202300000285;155 680 049;A01;1;0;2;1;1;5;203 850 506;1;1;4;1;2010.0;5;2;-1;-1;29;11;2023;13:50;1;69;69115;2;1;1;2;45.975;4.70644;4;1;1;0;1;1; -1;1;0;1;50;Blessé léger;2
202300000285;155 680 051;B01;7;0;2;4;1;3;203 850 509;1;1;1;2;1971.0;0;8;-1;-1;29;11;2023;13:50;1;69;69115;2;1;1;2;45.975;4.70644;4;1;1;0;1;1; -1;1;0;1;50;Indemne;2
202300000286;155 680 047;B01;1;0;2;1;1;5;203 850 504;1;1;3;2;2003.0;0;2;-1;-1;16;5;2023;09:30;1;63;63113;2;1;1;3;45.7818;3.1054;4;2;2;3;1;1; -1;1;1;1;30;Blessé hospitalisé;1
202300000286;155 680 048;A01;7;0;2;8;22;1;203 850 505;1;1;1;1;1996.0;0;1;-1;-1;16;5;2023;09:30;1;63;63113;2;1;1;3;45.7818;3.1054;4;2;2;3;1;1; -1;1;1;1;30;Indemne;1
202300000291;155 680 035;A01;7;0;2;2;1;1;203 850 492;1;1;1;1;1969.0;0;1;-1;-1;29;11;2023;06:50;5;69;69290;2;4;1;1;45.7034;4.89543;4;2;2;0;2;2; -1;1;0;1;50;Indemne;2
202300000291;155 680 035;A01;7;0;2;2;1;1;203 850 492;1;1;1;1;1969.0;0;1;-1;-1;29;11;2023;06:50;5;69;69290;2;4;1;1;45.7034;4.89543;4;2;2;0;1;1; -1;1;2;1;50;Indemne;2
202300000291;155 680 037;B01;1;0;2;4;0;5;203 850 495;1;1;4;1;1989.0;0;8;-1;-1;29;11;2023;06:50;5;69;69290;2;4;1;1;45.7034;4.89543;4;2;2;0;2;2; -1;1;0;1;50;Blessé léger;2
202300000291;155 680 037;B01;1;0;2;4;0;5;203 850 495;1;1;4;1;1989.0;0;8;-1;-1;29;11;2023;06:50;5;69;69290;2;4;1;1;45.7034;4.89543;4;2;2;0;1;1; -1;1;2;1;50;Blessé léger;2
202300000294;155 680 027;A01;7;0;0;3;15;1;203 850 483;1;1;1;2;1975.0;0;1;0;-1;29;11;2023;10:48;1;64;64122;2;4;1;3;43.46101;-1.54889;4;2;2;0;2;1; -1;1;0;1;50;Indemne;2
202300000294;155 680 027;A01;7;0;0;3;15;1;203 850 483;1;1;1;2;1975.0;0;1;0;-1;29;11;2023;10:48;1;64;64122;2;4;1;3;43.46101;-1.54889;4;2;2;0;2;3; -1;1;0;1;50;Indemne;2
202300000294;155 680 031;B01;1;0;2;1;1;5;203 850 488;1;1;4;2;1965.0;0;2;8;-1;29;11;2023;10:48;1;64;64122;2;4;1;3;43.46101;-1.54889;4;2;2;0;2;1; -1;1;0;1;50;Blessé léger;2
202300000294;155 680 031;B01;1;0;2;1;1;5;203 850 488;1;1;4;2;1965.0;0;2;8;-1;29;11;2023;10:48;1;64;64122;2;4;1;3;43.46101;-1.54889;4;2;2;0;2;3; -1;1;0;1;50;Blessé léger;2
202300000296;155 680 025;A01;1;0;9;0;2;5;203 850 481;1;1;4;1;1999.0;0;8;-1;-1;29;11;2023;18:10;5;63;63113;2;1;1;7;45.7686;3.08975;4;1;1;3;2;1; -1;1;0;6;30;Blessé léger;2
202300000304;155 680 009;A01;1;0;2;1;19;5;203 850 457;1;1;3;1;2012.0;0;0;-1;-1;30;5;2023;17:44;1;63;63032;2;1;1;3;45.7532;3.0898;4;2;3;-1;1;1; -1;1;0;1;50;Blessé hospitalisé;1
202300000304;155 680 010;B01;7;0;2;1;1;1;203 850 459;1;1;1;2;1957.0;0;1;-1;-1;30;5;2023;17:44;1;63;63032;2;1;1;3;45.7532;3.0898;4;2;3;-1;1;1; -1;1;0;1;50;Indemne;1
202300000304;155 680 010;B01;7;0;2;1;1;1;203 850 460;2;2;1;2;1965.0;0;1;-1;-1;30;5;2023;17:44;1;63;63032;2;1;1;3;45.7532;3.0898;4;2;3;-1;1;1; -1;1;0;1;50;Indemne;1
202300000306;155 680 004;A01;1;0;2;8;19;5;203 850 451;1;1;4;1;2011.0;5;2;-1;-1;30;5;2023;18:59;1;63;63113;2;1;1;3;45.793093;3.068873;4;2;2;0;1;1; -1;1;0;1;30;Blessé léger;1
202300000306;155 680 006;B01;33;0;2;1;1;-1;203 850 454;1;1;1;1;1960.0;0;2;-1;-1;30;5;2023;18:59;1;63;63113;2;1;1;3;45.793093;3.068873;4;2;2;0;1;1; -1;1;0;1;30;Indemne;1
202300000326;155 679 968;A01;7;0;2;8;16;-1;203 850 407;1;1;1;2;1989.0;0;8;-1;-1;16;5;2023;09:36;1;63;63113;2;4;3;3;45.77867;3.11669;4;1;1;-1;1;1; -1;2;0;1;30;Indemne;1
202300000326;155 679 968;A01;7;0;2;8;16;-1;203 850 407;1;1;1;2;1989.0;0;8;-1;-1;16;5;2023;09:36;1;63;63113;2;4;3;3;45.77867;3.11669;4;2; -1;-1;1;1; -1;2;0;1;30;Indemne;1
202300000326;155 679 970;B01;1;0;2;7;1;5;203 850 410;1;1;4;2;1993.0;1;2;-1;-1;16;5;2023;09:36;1;63;63113;2;4;3;3;45.77867;3.11669;4;1;1;-1;1;1; -1;2;0;1;30;Blessé léger;1
202300000326;155 679 970;B01;1;0;2;7;1;5;203 850 410;1;1;4;2;1993.0;1;2;-1;-1;16;5;2023;09:36;1;63;63113;2;4;3;3;45.77867;3.11669;4;2; -1;-1;1;1; -1;2;0;1;30;Blessé léger;1
202300000349;155 679 924;B01;7;0;2;3;15;1;203 850 342;1;1;1;2;1984.0;0;1;8;-1;20;6;2023;13:40;1;72;72181;2;1;1;3;48.00214;0.20727;4;2;2;0;1;1; -1;1;0;1;50;Indemne;1
202300000349;155 679 925;A01;1;0;2;1;26;5;203 850 345;1;1;4;1;1987.0;0;8;0;-1;20;6;2023;13:40;1;72;72181;2;1;1;3;48.00214;0.20727;4;2;2;0;1;1; -1;1;0;1;50;Blessé léger;1
202300000390;155 679 856;A01;7;1;0;2;26;2;203 850 252;1;1;1;2;1999.0;1;1;0;-1;27;8;2023;09:55;1;93;93006;2;4;1;3;48.86335;2.41434;3;1;0;3;1;1; -1;1;6;1;-1;Indemne;6
202300000390;155 679 856;A01;7;1;0;2;26;2;203 850 252;1;1;1;2;1999.0;1;1;0;-1;27;8;2023;09:55;1;93;93006;2;4;1;3;48.86335;2.41434;3;3;4;1;1;1;7;1;-1;1;50;Indemne;6
202300000390;155 679 858;B01;1;16;0;7;25;5;203 850 254;1;1;4;1;1973.0;5;8;0;-1;27;8;2023;09:55;1;93;93006;2;4;1;3;48.86335;2.41434;3;1;0;3;1;1; -1;1;6;1;-1;Blessé léger;6
202300000390;155 679 858;B01;1;16;0;7;25;5;203 850 254;1;1;4;1;1973.0;5;8;0;-1;27;8;2023;09:55;1;93;93006;2;4;1;3;48.86335;2.41434;3;3;4;1;1;1;7;1;-1;1;50;Blessé léger;6
202300000423;155 679 796;A01;1;0;2;8;19;5;203 850 167;1;1;4;1;1993.0;0;8;0;-1;18;9;2023;18:45;1;93;93006;2;3;1;3;48.862956;2.415185;4;-1;1;0;1;1; -1;1;0;1;50;Blessé léger;0
202300000423;155 679 796;A01;1;0;2;8;19;5;203 850 167;1;1;4;1;1993.0;0;8;0;-1;18;9;2023;18:45;1;93;93006;2;3;1;3;48.862956;2.415185;4;-1;0;0;1;1; -1;1;0;1;50;Blessé léger;0
202300000423;155 679 797;B01;31;0;9;1;2;1;203 850 169;1;1;1;1;1990.0;0;2;0;-1;18;9;2023;18:45;1;93;93006;2;3;1;3;48.862956;2.415185;4;-1;1;0;1;1; -1;1;0;1;50;Indemne;0
202300000423;155 679 797;B01;31;0;9;1;2;1;203 850 169;1;1;1;1;1990.0;0;2;0;-1;18;9;2023;18:45;1;93;93006;2;3;1;3;48.862956;2.415185;4;-1;0;0;1;1; -1;1;0;1;50;Indemne;0
202300000433;155 679 780;A01;1;0;0;0;1;5;203 850 145;1;1;2;1;1983.0;-1;-1;-1;-1;27;7;2023;11:00;1;30;30276;1;1;1;7;43.613466;4.192484;3;2;2;0;1;1; -1;1;0;1;-1;Tué;3
202300000437;155 679 771;A01;1;0;0;1;1;5;203 850 135;1;1;2;1;1955.0;-1;-1;-1;-1;12;10;2023;14:50;1;84;84075;1;1;1;7;44.01313831;5.24676098;3;2;2;-1;3;1; -1;1;0;1;-1;Tué;3
202300000464;155 679 728;A01;7;0;2;2;1;1;203 850 073;1;1;1;2;1988.0;0;1;0;-1;9;6;2023;08:40;1;86;86194;2;2;1;3;46.585625;0.333167;4;2;2;0;2;1; -1;1;0;1;50;Indemne;4
202300000464;155 679 728;A01;7;0;2;2;1;1;203 850 073;1;1;1;2;1988.0;0;1;0;-1;9;6;2023;08:40;1;86;86194;2;2;1;3;46.585625;0.333167;4;2;2;0;2;1; -1;1;0;1;30;Indemne;4
202300000464;155 679 729;B01;80;0;2;2;1;3;203 850 074;1;1;4;2;2000.0;1;2;0;-1;9;6;2023;08:40;1;86;86194;2;2;1;3;46.585625;0.333167;4;2;2;0;2;1; -1;1;0;1;50;Blessé léger;4
202300000464;155 679 729;B01;80;0;2;2;1;3;203 850 074;1;1;4;2;2000.0;1;2;0;-1;9;6;2023;08:40;1;86;86194;2;2;1;3;46.585625;0.333167;4;2;2;0;2;1; -1;1;0;1;30;Blessé léger;4
202300000465;155 679 726;B01;1;0;2;2;1;5;203 850 071;1;1;4;2;2002.0;1;2;0;-1;8;6;2023;10:15;1;86;86214;2;6;1;3;46.560415;0.368224;3;-1;0;0;1;2; -1;1;0;1;50;Blessé léger;3
202300000465;155 679 727;A01;10;0;2;3;1;1;203 850 072;1;1;1;2;1944.0;0;1;0;-1;8;6;2023;10:15;1;86;86214;2;6;1;3;46.560415;0.368224;3;-1;0;0;1;2; -1;1;0;1;50;Indemne;3
202300000484;155 679 694;A01;7;0;2;3;13;1;203 850 031;1;1;1;2;1935.0;3;1;8;-1;8;6;2023;12:35;1;59;59178;2;1;1;1;50.40124;3.12581;3;2;2;0;1;1; -1;1;0;1;50;Indemne;3
202300000484;155 679 695;B01;1;0;2;1;1;5;203 850 032;1;1;3;2;1965.0;0;8;0;-1;8;6;2023;12:35;1;59;59178;2;1;1;1;50.40124;3.12581;3;2;2;0;1;1; -1;1;0;1;50;Blessé hospitalisé;3
202300000489;155 679 687;A01;1;0;2;1;1;5;203 850 022;1;1;3;1;1985.0;5;2;8;-1;9;6;2023;11:40;1;54;54575;1;1;1;2;49.472;5.83868;3;2;2;0;1;1;7;1;0;1;60;Blessé hospitalisé;4
202300000489;155 679 688;B01;7;0;2;4;2;1;203 850 023;1;1;1;1;1966.0;0;1;0;-1;9;6;2023;11:40;1;54;54575;1;1;1;2;49.472;5.83868;3;2;2;0;1;1;7;1;0;1;60;Indemne;4
202300000494;155 679 677;B01;1;0;2;1;1;5;203 850 011;1;1;4;1;1995.0;0;2;-1;-1;25;10;2023;17:20;1;69;69383;2;2;3;3;45.75282;4.86957;4;1;1;2;1;1; -1;2;0;1;30;Blessé léger;2
202300000494;155 679 677;B01;1;0;2;1;1;5;203 850 011;1;1;4;1;1995.0;0;2;-1;-1;25;10;2023;17:20;1;69;69383;2;2;3;3;45.75282;4.86957;4;2;2;2;1;1; -1;2;0;1;30;Blessé léger;2
202300000494;155 679 678;A01;7;0;2;1;15;1;203 850 012;1;1;1;2;1991.0;0;1;-1;-1;25;10;2023;17:20;1;69;69383;2;2;3;3;45.75282;4.86957;4;1;1;2;1;1; -1;2;0;1;30;Indemne;2
202300000494;155 679 678;A01;7;0;2;1;15;1;203 850 012;1;1;1;2;1991.0;0;1;-1;-1;25;10;2023;17:20;1;69;69383;2;2;3;3;45.75282;4.86957;4;2;2;2;1;1; -1;2;0;1;30;Indemne;2
202300000499;155 679 669;A01;1;0;1;1;5;5;203 849 997;10;3;4;1;1969.0;0;0;-1;-1;26;10;2023;15:05;1;971;97120;2;9;2;6;16.23383207;-61.53271258;3;1;1;0;1;1; -1;2;0;1;30;Blessé léger;3
202300000499;155 679 669;A01;1;0;1;1;5;5;203 849 998;1;1;1;1;2003.0;5;8;0;-1;26;10;2023;15:05;1;971;97120;2;9;2;6;16.23383207;-61.53271258;3;1;1;0;1;1; -1;2;0;1;30;Indemne;3
202300000520;155 679 627;CA01;7;0;9;3;15;3;203 849 945;1;1;1;2;2004.0;5;1;0;-1;24;9;2023;19:15;1;91;91645;2;3;1;5;48.7416;2.25426;4;2;0;1;1;1; -1;1;0;5;50;Indemne;6
202300000520;155 679 627;CA01;7;0;9;3;15;3;203 849 945;1;1;1;2;2004.0;5;1;0;-1;24;9;2023;19:15;1;91;91645;2;3;1;5;48.7416;2.25426;4;2;1;0;1;1; -1;1;0;1;50;Indemne;6
202300000520;155 679 630;B01;1;0;2;1;1;5;203 849 948;1;1;4;1;1964.0;5;8;0;-1;24;9;2023;19:15;1;91;91645;2;3;1;5;48.7416;2.25426;4;2;0;1;1;1; -1;1;0;5;50;Blessé léger;6
202300000520;155 679 630;B01;1;0;2;1;1;5;203 849 948;1;1;4;1;1964.0;5;8;0;-1;24;9;2023;19:15;1;91;91645;2;3;1;5;48.7416;2.25426;4;2;1;0;1;1; -1;1;0;1;50;Blessé léger;6
